GEO_ID,county_name,state,county,alpr_total,pop_foreign_born,pop_not_citizen,pop_language_not_english,pop_not_in_labor_force,pop_private_wage_salary_workers,pop_households_fs_snap,pop_no_health_insurance,_pop_total,pop_hispanic,pop_NH_white,pop_NH_black,pop_NH_AIAN,pop_NH_asian,pop_NH_NHPI,pop_NH_some_other,pop_NH_two_or_more,pop_unhoused,pop_not_hs_graduate,pop_commute_drove_or_carpooled,pct_foreign_born,pct_not_citizen,pct_language_not_english,pct_not_in_labor_force,rate_unemployment,pct_private_wage_salary_workers,pct_households_fs_snap,pct_no_health_insurance,pct_people_impoverished,pct_hispanic,pct_NH_white,pct_NH_black,pct_NH_AIAN,pct_NH_asian,pct_NH_NHPI,pct_NH_some_other,pct_NH_two_or_more,pct_unhoused,pct_not_hs_graduate,pct_commute_drove_or_carpooled,gini_index,pct_republican_vote,task_force_model,warrant_service_officer,jail_enforcement_model
0500000US01001,"Autauga County, Alabama",01,001,0,1562,823,2123,19829,19648,2116,4250,59947,2289,42336,12244,36,663,5,128,2246,482,3593,24952,2.6,52.7,3.8,41.5,2.4,75.2,9.2,7.3,11.3,3.8,70.6,20.4,0.1,1.1,0.0,0.2,3.7,0.8,8.7,92.3,0.4752,72.4303,1.0,1.0,1.0
0500000US01003,"Baldwin County, Alabama",01,003,0,10220,5429,13881,82439,89696,6568,20193,246989,14276,199426,19824,657,2521,113,1376,8796,3124,14548,96264,4.1,53.1,5.9,41.1,3.0,78.7,6.7,8.3,10.1,5.8,80.7,8.0,0.3,1.0,0.0,0.6,3.6,1.26,8.2,85.5,0.4558,78.363,1.0,0.0,0.0
0500000US01005,"Barbour County, Alabama",01,005,0,804,599,1697,11058,6012,1943,2221,24643,1534,10773,11417,26,145,0,313,435,3051,3852,7796,3.3,74.5,7.3,54.4,7.8,70.4,21.3,10.3,21.4,6.2,43.7,46.3,0.1,0.6,0.0,1.3,1.8,12.38,21.9,92.0,0.4957,56.8848,0.0,0.0,0.0
0500000US01007,"Bibb County, Alabama",01,007,0,410,367,454,9166,6349,1592,1414,22130,766,16240,4366,7,99,0,35,617,1589,2832,7383,1.9,89.5,2.2,50.3,12.1,79.7,20.7,6.9,22.5,3.5,73.4,19.7,0.0,0.4,0.0,0.2,2.8,7.18,17.7,92.9,0.4367,81.7976,0.0,0.0,0.0
0500000US01009,"Blount County, Alabama",01,009,0,2980,1934,4670,20263,21056,2731,6100,59518,6130,50316,716,73,64,81,155,1983,545,6914,23643,5.0,64.9,8.3,42.5,5.0,80.9,12.3,10.3,12.9,10.3,84.5,1.2,0.1,0.1,0.1,0.3,3.3,0.92,16.8,92.8,0.4309,90.0259,1.0,0.0,0.0
0500000US01011,"Bullock County, Alabama",01,011,0,306,220,554,4856,2347,1255,1038,10058,602,2114,6986,0,42,0,9,305,1320,1831,2985,3.0,71.9,5.8,58.9,7.2,74.5,34.0,11.8,33.3,6.0,21.0,69.5,0.0,0.4,0.0,0.1,3.0,13.12,25.2,97.2,0.5067,26.7818,0.0,0.0,0.0
0500000US01013,"Butler County, Alabama",01,013,0,433,251,541,7296,5947,1312,2256,18630,316,9407,8327,85,248,0,7,240,286,1708,6613,2.3,58.0,3.1,48.5,6.5,82.1,17.3,12.3,22.4,1.7,50.5,44.7,0.5,1.3,0.0,0.0,1.3,1.54,13.0,92.9,0.5094,60.9906,0.0,0.0,0.0
0500000US01015,"Calhoun County, Alabama",01,015,0,3377,1810,4296,41348,38188,8057,11669,116090,5388,80498,25021,194,935,151,417,3486,4303,10665,45020,2.9,53.6,3.9,43.9,6.0,77.2,17.9,10.2,17.9,4.6,69.3,21.6,0.2,0.8,0.1,0.4,3.0,3.71,13.6,92.0,0.4571,71.7571,0.0,0.0,0.0
0500000US01017,"Chambers County, Alabama",01,017,0,705,569,1171,12301,11487,2184,3690,34192,1372,18421,13121,22,81,3,93,1079,669,3956,13038,2.1,80.7,3.6,44.7,5.1,80.1,16.3,11.0,15.7,4.0,53.9,38.4,0.1,0.2,0.0,0.3,3.2,1.96,16.3,92.6,0.4403,61.1513,0.0,0.0,0.0
0500000US01019,"Cherokee County, Alabama",01,019,0,521,320,636,10846,7621,1121,1809,25443,469,22997,964,47,51,0,18,897,258,3342,9234,2.0,61.4,2.6,51.0,3.9,76.2,11.0,7.2,14.8,1.8,90.4,3.8,0.2,0.2,0.0,0.1,3.5,1.01,17.6,93.9,0.4699,87.3289,1.0,1.0,0.0
0500000US01021,"Chilton County, Alabama",01,021,0,2308,1510,3849,15173,15532,2613,5090,45992,4707,35126,4328,16,200,17,415,1183,360,4529,17437,5.0,65.4,8.9,42.3,5.5,79.4,14.6,11.1,14.0,10.2,76.4,9.4,0.0,0.4,0.0,0.9,2.6,0.78,14.6,91.0,0.4236,85.6145,0.0,0.0,0.0
0500000US01023,"Choctaw County, Alabama",01,023,0,60,51,235,5322,3644,823,1050,12380,144,7007,4645,22,3,0,6,553,128,1244,4311,0.5,85.0,2.0,52.1,5.0,78.5,15.7,8.6,16.5,1.2,56.6,37.5,0.2,0.0,0.0,0.0,4.5,1.03,13.8,94.8,0.4555,61.6436,0.0,0.0,0.0
0500000US01025,"Clarke County, Alabama",01,025,0,252,159,390,9006,6743,1983,1664,22543,275,11524,10054,35,119,0,135,401,389,2205,7646,1.1,63.1,1.8,49.3,9.2,80.3,23.5,7.5,20.1,1.2,51.1,44.6,0.2,0.5,0.0,0.6,1.8,1.73,13.9,93.3,0.5318,58.2455,1.0,0.0,0.0
0500000US01027,"Clay County, Alabama",01,027,0,149,50,421,6064,3992,828,1007,14192,465,11195,1818,24,54,0,18,618,228,1720,4732,1.0,33.6,3.1,52.8,2.4,75.6,14.2,7.2,17.6,3.3,78.9,12.8,0.2,0.4,0.0,0.1,4.4,1.61,16.8,89.6,0.4447,84.7347,0.0,0.0,0.0
0500000US01029,"Cleburne County, Alabama",01,029,0,105,67,177,6312,4983,867,1337,15426,325,14225,562,24,18,0,36,236,150,1553,5609,0.7,63.8,1.2,50.3,2.6,83.2,14.5,8.8,13.7,2.1,92.2,3.6,0.2,0.1,0.0,0.2,1.5,0.97,14.1,93.2,0.4441,91.3345,0.0,0.0,0.0
0500000US01031,"Coffee County, Alabama",01,031,0,2545,1502,4144,18615,15385,2417,5471,54920,5396,37067,8549,248,626,25,113,2896,757,4808,21584,4.6,59.0,8.0,42.9,5.1,70.3,11.5,10.4,16.7,9.8,67.5,15.6,0.5,1.1,0.0,0.2,5.3,1.38,12.9,93.6,0.4458,78.3861,0.0,0.0,0.0
0500000US01033,"Colbert County, Alabama",01,033,0,959,515,1325,20147,20078,3515,4556,58022,2049,44720,8991,96,280,0,111,1775,403,5208,23170,1.7,53.7,2.4,42.8,3.1,76.8,14.5,7.9,17.4,3.5,77.1,15.5,0.2,0.5,0.0,0.2,3.1,0.69,12.6,90.4,0.4541,72.5847,1.0,1.0,1.0
0500000US01035,"Conecuh County, Alabama",01,035,0,94,44,139,5510,2733,882,895,11275,117,5632,5066,22,9,0,11,418,91,861,2963,0.8,46.8,1.3,59.5,8.7,79.8,20.0,8.0,27.8,1.0,50.0,44.9,0.2,0.1,0.0,0.1,3.7,0.81,10.7,90.6,0.5089,56.5692,0.0,0.0,0.0
0500000US01037,"Coosa County, Alabama",01,037,0,47,26,286,4574,3124,716,757,10300,253,6789,3007,7,29,0,0,215,314,1263,3442,0.5,55.3,2.9,52.4,6.2,80.4,16.2,7.6,13.1,2.5,65.9,29.2,0.1,0.3,0.0,0.0,2.1,3.05,16.2,89.2,0.3977,71.3364,0.0,0.0,0.0
0500000US01039,"Covington County, Alabama",01,039,0,460,243,571,14414,11312,2082,3491,37628,765,30978,4477,71,173,0,98,1066,617,3901,13888,1.2,52.8,1.6,47.7,5.2,75.9,14.2,9.4,19.2,2.0,82.3,11.9,0.2,0.5,0.0,0.3,2.8,1.64,14.8,94.5,0.4876,85.8555,0.0,0.0,0.0
0500000US01041,"Crenshaw County, Alabama",01,041,0,240,120,343,5101,3896,1087,1044,13122,288,9161,3093,64,46,0,4,466,183,1279,4822,1.8,50.0,2.8,48.4,5.4,75.9,20.8,8.1,17.9,2.2,69.8,23.6,0.5,0.4,0.0,0.0,3.6,1.39,14.0,94.7,0.5135,77.0891,0.0,1.0,0.0
0500000US01043,"Cullman County, Alabama",01,043,0,2044,1366,3765,30488,32004,3531,9826,90566,4563,81036,880,228,498,18,85,3258,1079,8638,37498,2.3,66.8,4.4,42.0,3.8,79.0,10.0,10.9,15.3,5.0,89.5,1.0,0.3,0.5,0.0,0.1,3.6,1.19,13.7,94.3,0.4536,89.7047,0.0,0.0,0.0
0500000US01045,"Dale County, Alabama",01,045,0,1749,721,2627,18128,13025,3637,4765,49599,3533,32778,10063,103,587,10,128,2397,818,4520,17607,3.5,41.2,5.7,46.1,6.6,72.8,18.4,10.1,18.7,7.1,66.1,20.3,0.2,1.2,0.0,0.3,4.8,1.65,13.4,90.7,0.4728,75.6361,0.0,0.0,0.0
0500000US01047,"Dallas County, Alabama",01,047,0,693,430,677,13921,10708,5765,2982,36858,360,9801,25754,46,226,0,18,653,434,3113,12319,1.9,62.0,2.0,47.7,11.0,78.7,36.2,8.2,31.0,1.0,26.6,69.9,0.1,0.6,0.0,0.0,1.8,1.18,12.4,91.5,0.5024,33.3826,0.0,0.0,0.0
0500000US01049,"DeKalb County, Alabama",01,049,0,5657,4531,10163,25205,23650,4627,11086,72269,12382,55620,975,291,136,6,412,2447,894,10119,28022,7.8,80.1,14.9,44.3,4.1,78.0,17.7,15.5,22.4,17.1,77.0,1.3,0.4,0.2,0.0,0.6,3.4,1.24,20.8,94.3,0.4587,86.4228,1.0,0.0,0.0
